time,success,failure,min_runtime,mean_runtime,max_runtime,submission_failure
1429649822,132,0,105,309.325757576,539,0
1429660622,172,0,96,303.034883721,746,0
1429671422,171,0,127,361.245614035,1271,0
1429682222,175,0,108,325.52,736,0
1429693022,173,0,103,302.404624277,862,0
1429703822,173,0,83,265.462427746,743,0
1429714621,174,0,87,271.908045977,861,0
1429725422,170,0,95,327.770588235,691,0
1429736221,165,0,133,382.054545455,1720,0
1429747022,176,0,91,310.045454545,874,0
1429757822,172,0,92,309.168604651,810,0
1429768622,164,9,96,315.493902439,707,0
1429779422,172,0,111,339.110465116,1265,0
1429790222,171,0,127,330.976608187,1307,0
1429801026,173,0,126,433.971098266,1439,0
1429811826,169,0,129,473.946745562,1351,0
1429822622,173,0,130,537.023121387,1566,0
1429833422,175,0,145,473.994285714,1430,0
1429844221,173,0,118,442.410404624,1215,0
1429855022,177,0,113,409.231638418,1852,0
1429865822,172,0,126,437.697674419,861,0
1429876622,177,0,130,393.468926554,746,0
1429887422,173,0,134,373.358381503,689,0
1429898222,172,2,113,432.174418605,1279,0
1429909022,165,5,116,345.084848485,960,0
1429919822,172,0,128,365.587209302,1346,0
1429930622,152,6,100,340.421052632,1480,0
1429941422,171,0,118,345.883040936,1256,0
1429952221,172,0,133,375.651162791,1065,0
1429963022,171,0,124,346.730994152,1077,0
1429973822,174,0,149,435.126436782,969,0
1429984621,172,1,137,449.011627907,1046,0
1429995423,173,0,103,554.161849711,3279,0
1430006222,174,0,84,373.965517241,2119,0
1430017022,172,0,147,412.843023256,3589,0
1430027822,173,0,110,375.826589595,973,0
1430038622,177,0,118,380.073446328,848,0
1430049422,174,0,132,357.195402299,848,0
1430060222,173,0,132,399.312138728,996,0
1430071022,174,0,138,433.425287356,988,0
1430081822,172,0,107,450.418604651,1365,0
1430092622,175,0,112,417.977142857,1228,0
1430103422,171,0,142,426.602339181,1068,0
1430114222,174,0,150,465.522988506,1135,0
1430125022,176,0,113,554.102272727,1730,0
1430135823,174,0,143,468.373563218,990,0
1430146622,172,0,164,527.738372093,2466,0
1430157422,173,0,149,436.312138728,1261,0
1430168222,169,0,149,634.917159763,3120,0
1430179023,174,0,132,471.551724138,1549,0
1430189822,173,0,156,489.87283237,1156,0
1430200622,167,0,139,472.359281437,1048,0
1430211422,172,0,153,529.284883721,1114,0
1430222222,175,0,131,521.868571429,1412,0
1430233023,175,0,100,368.685714286,1636,0
1430243822,170,1,114,378.088235294,728,0
1430254622,173,0,137,402.49132948,859,0
1430265422,171,0,133,460.438596491,1128,0
1430276222,172,0,146,765.790697674,2652,0
1430287022,174,0,100,705.287356322,2141,0
1430297822,176,0,117,715.897727273,3136,0
1430308623,169,0,135,756.585798817,2052,0
1430319423,180,0,125,701.072222222,3664,0
1430330222,176,0,113,465.602272727,1128,0
1430341022,168,6,112,390.869047619,1128,0
1430351822,170,0,113,503.105882353,1101,0
1430362622,170,0,111,482.070588235,995,0
1430373428,180,0,150,464.127777778,935,0
1430384223,171,0,141,463.964912281,1100,0
1430395023,174,0,175,530.804597701,1004,0
1430405822,174,0,123,509.390804598,1255,0
